ID_Intervento,Azienda,Città,Macchinario,Tipo_Macchinario,Tipo_Intervento,Priorità,Data_Intervento,Tecnico,Durata_Ore,Stato,Costo_Euro,Età_Macchinario_Anni,Ore_Utilizzo_Totali,Mesi_Senza_Intervento,Interventi_Ultimi_12_Mesi,Esito_Intervento
INT-0001,IMA Industries,Bologna,Compressore Boge C15,Compressore,Manutenzione Correttiva,Alta,2022-08-27,Ferretti,6.6,Completato,152.18,9.0,16890,17,1,Completato
INT-0002,SCM Group,Rimini,Giunto elastico Flender,Trasmissione,Guasto Urgente,Alta,2022-12-11,Ansaloni,2.1,Recidiva,1113.4,9.8,11823,5,6,Recidiva
INT-0003,Frigomec Srl,Modena,Pannello PLC Siemens S7,Quadro Elettrico,Manutenzione Correttiva,Bassa,2024-06-01,Ansaloni,5.0,Completato,603.02,6.7,14559,12,1,Completato
INT-0004,Termomeccanica Srl,Parma,Compressore Kaeser SK25,Compressore,Guasto Urgente,Media,2022-12-30,Ferretti,3.3,Completato,806.18,10.3,21284,12,4,Completato
INT-0005,Termomeccanica Srl,Parma,Variatore SEW Eurodrive,Trasmissione,Manutenzione Correttiva,Bassa,2022-08-23,Ansaloni,10.0,Completato,2269.72,2.4,3790,17,3,Completato
INT-0006,Elcon Srl,Piacenza,Quadro MCC Schneider,Quadro Elettrico,Manutenzione Preventiva,Alta,2022-09-27,Monti,9.2,Completato,1245.34,2.9,4927,14,2,Completato
INT-0007,Elcon Srl,Piacenza,Quadro BT ABB,Quadro Elettrico,Manutenzione Preventiva,Alta,2023-09-03,Bernardini,1.7,Completato,1118.0,6.4,8261,1,1,Completato
INT-0008,Pneumax Srl,Bergamo,Cinghia trapezoidale SKF,Trasmissione,Manutenzione Correttiva,Alta,2022-06-11,Ferretti,6.0,Completato,2674.38,8.3,10910,17,4,Completato
INT-0009,Aeroquip Srl,Ferrara,Variatore SEW Eurodrive,Trasmissione,Manutenzione Preventiva,Media,2024-03-08,Ansaloni,11.1,Completato,2578.3,10.5,15733,16,3,Completato
INT-0010,Tecnoinox Srl,Reggio Emilia,Pompa Centrifuga Grundfos NB,Pompa,Manutenzione Preventiva,Bassa,2022-03-29,Ansaloni,9.1,Parziale,2299.58,10.6,21535,9,3,Parziale
INT-0011,Samp SpA,Bologna,Chiller Trane CGAM,Refrigerazione,Ispezione Periodica,Media,2024-01-01,Bernardini,4.4,Completato,2786.81,3.5,7253,13,3,Completato
INT-0012,Frigomec Srl,Modena,Pompa Flygt Serie 3,Pompa,Manutenzione Correttiva,Alta,2022-03-02,Ansaloni,3.5,Completato,2542.74,1.2,1465,17,3,Completato
INT-0013,Tecnoinox Srl,Reggio Emilia,Compressore Kaeser SK25,Compressore,Manutenzione Preventiva,Media,2022-04-07,Ferretti,2.1,Completato,1252.46,3.0,3996,18,7,Completato
INT-0014,Rollon SpA,Milano,Pompa Flygt Serie 3,Pompa,Guasto Urgente,Alta,2022-09-12,Ferretti,3.1,Parziale,1538.7,8.2,17910,3,0,Parziale
INT-0015,Marchesini Group,Bologna,Pompa KSB Etanorm,Pompa,Manutenzione Preventiva,Bassa,2022-04-06,Ansaloni,11.2,Completato,2388.45,10.6,13519,17,1,Completato
INT-0016,Coesia SpA,Bologna,Pompa Flygt Serie 3,Pompa,Guasto Urgente,Media,2023-03-10,Ansaloni,8.7,Completato,2066.97,10.9,14874,0,6,Completato
INT-0017,Samp SpA,Bologna,Pompa KSB Etanorm,Pompa,Manutenzione Correttiva,Alta,2023-05-30,Ansaloni,11.1,Completato,1524.66,11.6,20638,17,0,Completato
INT-0018,Fluid System Srl,Modena,Riduttore Bonfiglioli VF,Trasmissione,Manutenzione Preventiva,Bassa,2023-09-01,Ferretti,1.4,Completato,302.99,7.3,13689,7,6,Completato
INT-0019,Cefla Srl,Imola,Pannello PLC Siemens S7,Quadro Elettrico,Guasto Urgente,Media,2023-04-15,Monti,7.8,Completato,1611.34,3.2,5106,9,7,Completato
INT-0020,IMA Industries,Bologna,Compressore Kaeser SK25,Compressore,Guasto Urgente,Alta,2022-11-06,Ferretti,7.7,Completato,2765.27,11.2,23305,7,5,Completato
INT-0021,Cefla Srl,Imola,Compressore Boge C15,Compressore,Manutenzione Correttiva,Alta,2022-08-04,Ferretti,8.9,Completato,633.78,11.3,15077,3,1,Completato
INT-0022,Aeroquip Srl,Ferrara,Giunto elastico Flender,Trasmissione,Manutenzione Preventiva,Bassa,2022-09-26,Ansaloni,2.8,Completato,1281.79,1.6,2597,8,0,Completato
INT-0023,Rollon SpA,Milano,Riduttore Bonfiglioli VF,Trasmissione,Manutenzione Preventiva,Alta,2024-03-26,Ansaloni,11.7,Completato,188.51,6.8,13835,18,8,Completato
INT-0024,Frigomec Srl,Modena,Chiller Trane CGAM,Refrigerazione,Ispezione Periodica,Alta,2024-03-30,Bernardini,9.9,Completato,2477.45,9.5,19799,13,2,Completato
INT-0025,Carpigiani SpA,Bologna,Refrigeratore Clivet WSAN,Refrigerazione,Guasto Urgente,Media,2022-02-09,Bernardini,10.4,Completato,685.02,9.7,20021,7,4,Completato
INT-0026,Pneumax Srl,Bergamo,Pannello PLC Siemens S7,Quadro Elettrico,Manutenzione Preventiva,Alta,2022-12-26,Bernardini,8.1,Completato,1167.13,3.1,5766,12,5,Completato
